densidad,idx,solucion,tiempo,archivo
0.3,16,22,0.26906,new_3000_dataset/erdos_n3000_p0c0.3_16.graph
0.3,17,23,0.263671,new_3000_dataset/erdos_n3000_p0c0.3_17.graph
0.3,18,22,0.273265,new_3000_dataset/erdos_n3000_p0c0.3_18.graph
0.3,19,22,0.280351,new_3000_dataset/erdos_n3000_p0c0.3_19.graph
0.3,20,25,0.269526,new_3000_dataset/erdos_n3000_p0c0.3_20.graph
0.3,21,22,0.263293,new_3000_dataset/erdos_n3000_p0c0.3_21.graph
0.3,22,23,0.260836,new_3000_dataset/erdos_n3000_p0c0.3_22.graph
0.3,23,24,0.26457,new_3000_dataset/erdos_n3000_p0c0.3_23.graph
0.3,24,22,0.281042,new_3000_dataset/erdos_n3000_p0c0.3_24.graph
0.3,25,22,0.27249,new_3000_dataset/erdos_n3000_p0c0.3_25.graph
0.3,26,24,0.322431,new_3000_dataset/erdos_n3000_p0c0.3_26.graph
0.3,27,21,0.267986,new_3000_dataset/erdos_n3000_p0c0.3_27.graph
0.3,28,23,0.263821,new_3000_dataset/erdos_n3000_p0c0.3_28.graph
0.3,29,24,0.286065,new_3000_dataset/erdos_n3000_p0c0.3_29.graph
0.3,30,24,0.268048,new_3000_dataset/erdos_n3000_p0c0.3_30.graph
0.4,1,16,0.407,new_3000_dataset/erdos_n3000_p0c0.4_1.graph
0.4,2,17,0.413427,new_3000_dataset/erdos_n3000_p0c0.4_2.graph
0.4,3,16,0.41195,new_3000_dataset/erdos_n3000_p0c0.4_3.graph
0.4,4,18,0.390119,new_3000_dataset/erdos_n3000_p0c0.4_4.graph
0.4,5,17,0.392611,new_3000_dataset/erdos_n3000_p0c0.4_5.graph
0.4,6,18,0.399778,new_3000_dataset/erdos_n3000_p0c0.4_6.graph
0.4,7,16,0.395636,new_3000_dataset/erdos_n3000_p0c0.4_7.graph
0.4,8,17,0.513583,new_3000_dataset/erdos_n3000_p0c0.4_8.graph
0.4,9,16,0.41907,new_3000_dataset/erdos_n3000_p0c0.4_9.graph
0.4,10,19,0.421772,new_3000_dataset/erdos_n3000_p0c0.4_10.graph
0.4,11,18,0.413071,new_3000_dataset/erdos_n3000_p0c0.4_11.graph
0.4,12,17,0.436907,new_3000_dataset/erdos_n3000_p0c0.4_12.graph
0.4,13,18,0.383264,new_3000_dataset/erdos_n3000_p0c0.4_13.graph
0.4,14,17,0.40248,new_3000_dataset/erdos_n3000_p0c0.4_14.graph
0.4,15,17,0.393369,new_3000_dataset/erdos_n3000_p0c0.4_15.graph
0.4,16,16,0.40303,new_3000_dataset/erdos_n3000_p0c0.4_16.graph
0.4,17,16,0.462975,new_3000_dataset/erdos_n3000_p0c0.4_17.graph
0.4,18,16,0.418005,new_3000_dataset/erdos_n3000_p0c0.4_18.graph
0.4,19,17,0.399831,new_3000_dataset/erdos_n3000_p0c0.4_19.graph
0.4,20,17,0.390762,new_3000_dataset/erdos_n3000_p0c0.4_20.graph
0.4,21,17,0.426791,new_3000_dataset/erdos_n3000_p0c0.4_21.graph
0.4,22,14,0.401058,new_3000_dataset/erdos_n3000_p0c0.4_22.graph
