densidad,idx,solucion,tiempo,archivo
0.1,1,57,0.0393927,new_2000_dataset/erdos_n2000_p0c0.1_1.graph
0.1,2,62,0.0334271,new_2000_dataset/erdos_n2000_p0c0.1_2.graph
0.1,3,61,0.0321569,new_2000_dataset/erdos_n2000_p0c0.1_3.graph
0.1,4,63,0.032588,new_2000_dataset/erdos_n2000_p0c0.1_4.graph
0.1,5,60,0.0323086,new_2000_dataset/erdos_n2000_p0c0.1_5.graph
0.1,6,59,0.0759922,new_2000_dataset/erdos_n2000_p0c0.1_6.graph
0.1,7,63,0.0504493,new_2000_dataset/erdos_n2000_p0c0.1_7.graph
0.1,8,62,0.0327909,new_2000_dataset/erdos_n2000_p0c0.1_8.graph
0.1,9,62,0.0321741,new_2000_dataset/erdos_n2000_p0c0.1_9.graph
0.1,10,63,0.0312909,new_2000_dataset/erdos_n2000_p0c0.1_10.graph
0.1,11,60,0.0305255,new_2000_dataset/erdos_n2000_p0c0.1_11.graph
0.1,12,62,0.0324853,new_2000_dataset/erdos_n2000_p0c0.1_12.graph
0.1,13,60,0.0330909,new_2000_dataset/erdos_n2000_p0c0.1_13.graph
0.1,14,66,0.0329789,new_2000_dataset/erdos_n2000_p0c0.1_14.graph
0.1,15,62,0.0325968,new_2000_dataset/erdos_n2000_p0c0.1_15.graph
0.1,16,61,0.03039,new_2000_dataset/erdos_n2000_p0c0.1_16.graph
0.1,17,62,0.0336251,new_2000_dataset/erdos_n2000_p0c0.1_17.graph
0.1,18,62,0.0382109,new_2000_dataset/erdos_n2000_p0c0.1_18.graph
0.1,19,63,0.0326804,new_2000_dataset/erdos_n2000_p0c0.1_19.graph
0.1,20,64,0.0351097,new_2000_dataset/erdos_n2000_p0c0.1_20.graph
0.1,21,62,0.0362985,new_2000_dataset/erdos_n2000_p0c0.1_21.graph
0.1,22,65,0.0352519,new_2000_dataset/erdos_n2000_p0c0.1_22.graph
0.1,23,61,0.036211,new_2000_dataset/erdos_n2000_p0c0.1_23.graph
0.1,24,61,0.0348639,new_2000_dataset/erdos_n2000_p0c0.1_24.graph
0.1,25,61,0.0347429,new_2000_dataset/erdos_n2000_p0c0.1_25.graph
0.1,26,63,0.0312297,new_2000_dataset/erdos_n2000_p0c0.1_26.graph
0.1,27,63,0.0318993,new_2000_dataset/erdos_n2000_p0c0.1_27.graph
0.1,28,62,0.0324363,new_2000_dataset/erdos_n2000_p0c0.1_28.graph
0.1,29,60,0.0352107,new_2000_dataset/erdos_n2000_p0c0.1_29.graph
0.1,30,63,0.0336704,new_2000_dataset/erdos_n2000_p0c0.1_30.graph
0.2,1,32,0.0667495,new_2000_dataset/erdos_n2000_p0c0.2_1.graph
0.2,2,34,0.0637518,new_2000_dataset/erdos_n2000_p0c0.2_2.graph
0.2,3,33,0.0691085,new_2000_dataset/erdos_n2000_p0c0.2_3.graph
0.2,4,32,0.0615889,new_2000_dataset/erdos_n2000_p0c0.2_4.graph
0.2,5,31,0.0620718,new_2000_dataset/erdos_n2000_p0c0.2_5.graph
0.2,6,34,0.0669609,new_2000_dataset/erdos_n2000_p0c0.2_6.graph
0.2,7,32,0.064526,new_2000_dataset/erdos_n2000_p0c0.2_7.graph
0.2,8,33,0.0679384,new_2000_dataset/erdos_n2000_p0c0.2_8.graph
0.2,9,33,0.066507,new_2000_dataset/erdos_n2000_p0c0.2_9.graph
0.2,10,31,0.0671277,new_2000_dataset/erdos_n2000_p0c0.2_10.graph
0.2,11,33,0.0662661,new_2000_dataset/erdos_n2000_p0c0.2_11.graph
0.2,12,32,0.0653688,new_2000_dataset/erdos_n2000_p0c0.2_12.graph
0.2,13,34,0.0613548,new_2000_dataset/erdos_n2000_p0c0.2_13.graph
0.2,14,33,0.0625146,new_2000_dataset/erdos_n2000_p0c0.2_14.graph
0.2,15,34,0.067821,new_2000_dataset/erdos_n2000_p0c0.2_15.graph
0.2,16,34,0.067961,new_2000_dataset/erdos_n2000_p0c0.2_16.graph
0.2,17,30,0.0650867,new_2000_dataset/erdos_n2000_p0c0.2_17.graph
0.2,18,33,0.0681002,new_2000_dataset/erdos_n2000_p0c0.2_18.graph
0.2,19,34,0.0634964,new_2000_dataset/erdos_n2000_p0c0.2_19.graph
0.2,20,34,0.06206,new_2000_dataset/erdos_n2000_p0c0.2_20.graph
0.2,21,35,0.0682039,new_2000_dataset/erdos_n2000_p0c0.2_21.graph
0.2,22,32,0.0630013,new_2000_dataset/erdos_n2000_p0c0.2_22.graph
0.2,23,31,0.0686347,new_2000_dataset/erdos_n2000_p0c0.2_23.graph
0.2,24,32,0.0696383,new_2000_dataset/erdos_n2000_p0c0.2_24.graph
0.2,25,33,0.0627831,new_2000_dataset/erdos_n2000_p0c0.2_25.graph
0.2,26,32,0.06735,new_2000_dataset/erdos_n2000_p0c0.2_26.graph
0.2,27,33,0.0657259,new_2000_dataset/erdos_n2000_p0c0.2_27.graph
0.2,28,34,0.0641846,new_2000_dataset/erdos_n2000_p0c0.2_28.graph
0.2,29,33,0.0627529,new_2000_dataset/erdos_n2000_p0c0.2_29.graph
0.2,30,32,0.0632543,new_2000_dataset/erdos_n2000_p0c0.2_30.graph
0.3,1,21,0.102364,new_2000_dataset/erdos_n2000_p0c0.3_1.graph
0.3,2,24,0.109746,new_2000_dataset/erdos_n2000_p0c0.3_2.graph
0.3,3,22,0.110653,new_2000_dataset/erdos_n2000_p0c0.3_3.graph
0.3,4,22,0.100652,new_2000_dataset/erdos_n2000_p0c0.3_4.graph
0.3,5,22,0.101004,new_2000_dataset/erdos_n2000_p0c0.3_5.graph
0.3,6,23,0.101559,new_2000_dataset/erdos_n2000_p0c0.3_6.graph
0.3,7,22,0.101887,new_2000_dataset/erdos_n2000_p0c0.3_7.graph
0.3,8,23,0.100942,new_2000_dataset/erdos_n2000_p0c0.3_8.graph
0.3,9,22,0.118303,new_2000_dataset/erdos_n2000_p0c0.3_9.graph
0.3,10,21,0.10198,new_2000_dataset/erdos_n2000_p0c0.3_10.graph
0.3,11,22,0.112225,new_2000_dataset/erdos_n2000_p0c0.3_11.graph
0.3,12,22,0.105844,new_2000_dataset/erdos_n2000_p0c0.3_12.graph
0.3,13,24,0.102048,new_2000_dataset/erdos_n2000_p0c0.3_13.graph
0.3,14,24,0.0988994,new_2000_dataset/erdos_n2000_p0c0.3_14.graph
0.3,15,22,0.106153,new_2000_dataset/erdos_n2000_p0c0.3_15.graph
0.3,16,23,0.101181,new_2000_dataset/erdos_n2000_p0c0.3_16.graph
0.3,17,23,0.108377,new_2000_dataset/erdos_n2000_p0c0.3_17.graph
0.3,18,24,0.105153,new_2000_dataset/erdos_n2000_p0c0.3_18.graph
0.3,19,20,0.106982,new_2000_dataset/erdos_n2000_p0c0.3_19.graph
0.3,20,21,0.10971,new_2000_dataset/erdos_n2000_p0c0.3_20.graph
0.3,21,22,0.100924,new_2000_dataset/erdos_n2000_p0c0.3_21.graph
0.3,22,21,0.111603,new_2000_dataset/erdos_n2000_p0c0.3_22.graph
0.3,23,22,0.114772,new_2000_dataset/erdos_n2000_p0c0.3_23.graph
0.3,24,22,0.102771,new_2000_dataset/erdos_n2000_p0c0.3_24.graph
0.3,25,22,0.103094,new_2000_dataset/erdos_n2000_p0c0.3_25.graph
0.3,26,22,0.107434,new_2000_dataset/erdos_n2000_p0c0.3_26.graph
0.3,27,22,0.107526,new_2000_dataset/erdos_n2000_p0c0.3_27.graph
0.3,28,22,0.10338,new_2000_dataset/erdos_n2000_p0c0.3_28.graph
0.3,29,24,0.104774,new_2000_dataset/erdos_n2000_p0c0.3_29.graph
0.3,30,22,0.108813,new_2000_dataset/erdos_n2000_p0c0.3_30.graph
0.4,1,16,0.146767,new_2000_dataset/erdos_n2000_p0c0.4_1.graph
0.4,2,17,0.14491,new_2000_dataset/erdos_n2000_p0c0.4_2.graph
0.4,3,16,0.150801,new_2000_dataset/erdos_n2000_p0c0.4_3.graph
0.4,4,17,0.145444,new_2000_dataset/erdos_n2000_p0c0.4_4.graph
0.4,5,16,0.143438,new_2000_dataset/erdos_n2000_p0c0.4_5.graph
0.4,6,16,0.145453,new_2000_dataset/erdos_n2000_p0c0.4_6.graph
0.4,7,16,0.142012,new_2000_dataset/erdos_n2000_p0c0.4_7.graph
0.4,8,16,0.14503,new_2000_dataset/erdos_n2000_p0c0.4_8.graph
0.4,9,17,0.141944,new_2000_dataset/erdos_n2000_p0c0.4_9.graph
0.4,10,16,0.14344,new_2000_dataset/erdos_n2000_p0c0.4_10.graph
0.4,11,16,0.163121,new_2000_dataset/erdos_n2000_p0c0.4_11.graph
0.4,12,16,0.149227,new_2000_dataset/erdos_n2000_p0c0.4_12.graph
0.4,13,16,0.150167,new_2000_dataset/erdos_n2000_p0c0.4_13.graph
0.4,14,18,0.156954,new_2000_dataset/erdos_n2000_p0c0.4_14.graph
0.4,15,17,0.14682,new_2000_dataset/erdos_n2000_p0c0.4_15.graph
0.4,16,15,0.144683,new_2000_dataset/erdos_n2000_p0c0.4_16.graph
0.4,17,16,0.134207,new_2000_dataset/erdos_n2000_p0c0.4_17.graph
0.4,18,16,0.146775,new_2000_dataset/erdos_n2000_p0c0.4_18.graph
0.4,19,18,0.146245,new_2000_dataset/erdos_n2000_p0c0.4_19.graph
0.4,20,15,0.145167,new_2000_dataset/erdos_n2000_p0c0.4_20.graph
0.4,21,18,0.148989,new_2000_dataset/erdos_n2000_p0c0.4_21.graph
0.4,22,16,0.146355,new_2000_dataset/erdos_n2000_p0c0.4_22.graph
0.4,23,15,0.146617,new_2000_dataset/erdos_n2000_p0c0.4_23.graph
0.4,24,17,0.138959,new_2000_dataset/erdos_n2000_p0c0.4_24.graph
0.4,25,15,0.143309,new_2000_dataset/erdos_n2000_p0c0.4_25.graph
0.4,26,17,0.143861,new_2000_dataset/erdos_n2000_p0c0.4_26.graph
0.4,27,16,0.146796,new_2000_dataset/erdos_n2000_p0c0.4_27.graph
0.4,28,16,0.143414,new_2000_dataset/erdos_n2000_p0c0.4_28.graph
0.4,29,16,0.142945,new_2000_dataset/erdos_n2000_p0c0.4_29.graph
0.4,30,16,0.146838,new_2000_dataset/erdos_n2000_p0c0.4_30.graph
0.5,1,13,0.187736,new_2000_dataset/erdos_n2000_p0c0.5_1.graph
0.5,2,13,0.178319,new_2000_dataset/erdos_n2000_p0c0.5_2.graph
0.5,3,12,0.183951,new_2000_dataset/erdos_n2000_p0c0.5_3.graph
0.5,4,12,0.195349,new_2000_dataset/erdos_n2000_p0c0.5_4.graph
0.5,5,12,0.190752,new_2000_dataset/erdos_n2000_p0c0.5_5.graph
0.5,6,13,0.184072,new_2000_dataset/erdos_n2000_p0c0.5_6.graph
0.5,7,14,0.181661,new_2000_dataset/erdos_n2000_p0c0.5_7.graph
0.5,8,13,0.180919,new_2000_dataset/erdos_n2000_p0c0.5_8.graph
0.5,9,11,0.18199,new_2000_dataset/erdos_n2000_p0c0.5_9.graph
0.5,10,14,0.18938,new_2000_dataset/erdos_n2000_p0c0.5_10.graph
0.5,11,12,0.203898,new_2000_dataset/erdos_n2000_p0c0.5_11.graph
0.5,12,13,0.177978,new_2000_dataset/erdos_n2000_p0c0.5_12.graph
0.5,13,15,0.200335,new_2000_dataset/erdos_n2000_p0c0.5_13.graph
0.5,14,13,0.181715,new_2000_dataset/erdos_n2000_p0c0.5_14.graph
0.5,15,12,0.188885,new_2000_dataset/erdos_n2000_p0c0.5_15.graph
0.5,16,13,0.195152,new_2000_dataset/erdos_n2000_p0c0.5_16.graph
