densidad,count,mean_best,std_best,mean_time,std_time
0.1,30,61.833333,1.763291,0.035536,0.008498
0.2,30,32.766667,1.165106,0.065396,0.002517
0.3,30,22.266667,1.014833,0.105692,0.004742
0.4,30,16.266667,0.827682,0.146023,0.005064
0.5,30,12.500000,1.008584,0.188888,0.006131
0.6,30,9.800000,0.886683,0.234681,0.026447
0.7,30,7.633333,0.764890,0.282694,0.018044
0.8,30,6.066667,0.520830,0.314116,0.016970
0.9,30,4.600000,0.498273,0.332288,0.011961
