densidad,idx,solucion,tiempo,archivo
0.1,1,55,0.0200406,new_1000_dataset/erdos_n1000_p0c0.1_1.graph
0.1,2,53,0.0198994,new_1000_dataset/erdos_n1000_p0c0.1_2.graph
0.1,3,53,0.00774816,new_1000_dataset/erdos_n1000_p0c0.1_3.graph
0.1,4,56,0.0157112,new_1000_dataset/erdos_n1000_p0c0.1_4.graph
0.1,5,55,0.0100362,new_1000_dataset/erdos_n1000_p0c0.1_5.graph
0.1,6,52,0.0130813,new_1000_dataset/erdos_n1000_p0c0.1_6.graph
0.1,7,55,0.00824472,new_1000_dataset/erdos_n1000_p0c0.1_7.graph
0.1,8,52,0.00811884,new_1000_dataset/erdos_n1000_p0c0.1_8.graph
0.1,9,54,0.00994982,new_1000_dataset/erdos_n1000_p0c0.1_9.graph
0.1,10,55,0.0122259,new_1000_dataset/erdos_n1000_p0c0.1_10.graph
0.1,11,51,0.0103808,new_1000_dataset/erdos_n1000_p0c0.1_11.graph
0.1,12,58,0.00871776,new_1000_dataset/erdos_n1000_p0c0.1_12.graph
0.1,13,53,0.00946144,new_1000_dataset/erdos_n1000_p0c0.1_13.graph
0.1,14,52,0.00970562,new_1000_dataset/erdos_n1000_p0c0.1_14.graph
0.1,15,56,0.00897353,new_1000_dataset/erdos_n1000_p0c0.1_15.graph
0.1,16,54,0.0160833,new_1000_dataset/erdos_n1000_p0c0.1_16.graph
0.1,17,52,0.0147236,new_1000_dataset/erdos_n1000_p0c0.1_17.graph
0.1,18,52,0.00791712,new_1000_dataset/erdos_n1000_p0c0.1_18.graph
0.1,19,53,0.00767872,new_1000_dataset/erdos_n1000_p0c0.1_19.graph
0.1,20,58,0.00793446,new_1000_dataset/erdos_n1000_p0c0.1_20.graph
0.1,21,49,0.00935361,new_1000_dataset/erdos_n1000_p0c0.1_21.graph
0.1,22,53,0.0123509,new_1000_dataset/erdos_n1000_p0c0.1_22.graph
0.1,23,55,0.0171859,new_1000_dataset/erdos_n1000_p0c0.1_23.graph
0.1,24,55,0.0110614,new_1000_dataset/erdos_n1000_p0c0.1_24.graph
0.1,25,54,0.00911477,new_1000_dataset/erdos_n1000_p0c0.1_25.graph
0.1,26,59,0.00808967,new_1000_dataset/erdos_n1000_p0c0.1_26.graph
0.1,27,52,0.0150411,new_1000_dataset/erdos_n1000_p0c0.1_27.graph
0.1,28,53,0.0182286,new_1000_dataset/erdos_n1000_p0c0.1_28.graph
0.1,29,51,0.00824154,new_1000_dataset/erdos_n1000_p0c0.1_29.graph
0.1,30,52,0.0112361,new_1000_dataset/erdos_n1000_p0c0.1_30.graph
0.2,1,29,0.0197829,new_1000_dataset/erdos_n1000_p0c0.2_1.graph
0.2,2,31,0.0177895,new_1000_dataset/erdos_n1000_p0c0.2_2.graph
0.2,3,29,0.0177844,new_1000_dataset/erdos_n1000_p0c0.2_3.graph
0.2,4,28,0.01735,new_1000_dataset/erdos_n1000_p0c0.2_4.graph
0.2,5,30,0.0231885,new_1000_dataset/erdos_n1000_p0c0.2_5.graph
0.2,6,30,0.0168358,new_1000_dataset/erdos_n1000_p0c0.2_6.graph
0.2,7,33,0.015783,new_1000_dataset/erdos_n1000_p0c0.2_7.graph
0.2,8,30,0.0159831,new_1000_dataset/erdos_n1000_p0c0.2_8.graph
0.2,9,30,0.015618,new_1000_dataset/erdos_n1000_p0c0.2_9.graph
0.2,10,29,0.0178458,new_1000_dataset/erdos_n1000_p0c0.2_10.graph
0.2,11,28,0.0288828,new_1000_dataset/erdos_n1000_p0c0.2_11.graph
0.2,12,32,0.0263347,new_1000_dataset/erdos_n1000_p0c0.2_12.graph
0.2,13,31,0.0156103,new_1000_dataset/erdos_n1000_p0c0.2_13.graph
0.2,14,30,0.0226669,new_1000_dataset/erdos_n1000_p0c0.2_14.graph
0.2,15,30,0.0185217,new_1000_dataset/erdos_n1000_p0c0.2_15.graph
0.2,16,30,0.0162181,new_1000_dataset/erdos_n1000_p0c0.2_16.graph
0.2,17,27,0.0156796,new_1000_dataset/erdos_n1000_p0c0.2_17.graph
0.2,18,29,0.01548,new_1000_dataset/erdos_n1000_p0c0.2_18.graph
0.2,19,31,0.0196519,new_1000_dataset/erdos_n1000_p0c0.2_19.graph
0.2,20,30,0.0166409,new_1000_dataset/erdos_n1000_p0c0.2_20.graph
0.2,21,29,0.0157122,new_1000_dataset/erdos_n1000_p0c0.2_21.graph
0.2,22,29,0.0163906,new_1000_dataset/erdos_n1000_p0c0.2_22.graph
0.2,23,30,0.0167889,new_1000_dataset/erdos_n1000_p0c0.2_23.graph
0.2,24,28,0.0169172,new_1000_dataset/erdos_n1000_p0c0.2_24.graph
0.2,25,30,0.0160156,new_1000_dataset/erdos_n1000_p0c0.2_25.graph
0.2,26,31,0.0150058,new_1000_dataset/erdos_n1000_p0c0.2_26.graph
0.2,27,30,0.0209285,new_1000_dataset/erdos_n1000_p0c0.2_27.graph
0.2,28,29,0.020637,new_1000_dataset/erdos_n1000_p0c0.2_28.graph
0.2,29,29,0.0153857,new_1000_dataset/erdos_n1000_p0c0.2_29.graph
0.2,30,29,0.0229176,new_1000_dataset/erdos_n1000_p0c0.2_30.graph
0.3,1,21,0.0373149,new_1000_dataset/erdos_n1000_p0c0.3_1.graph
0.3,2,21,0.0256243,new_1000_dataset/erdos_n1000_p0c0.3_2.graph
0.3,3,20,0.0259033,new_1000_dataset/erdos_n1000_p0c0.3_3.graph
0.3,4,20,0.0249909,new_1000_dataset/erdos_n1000_p0c0.3_4.graph
0.3,5,20,0.0259398,new_1000_dataset/erdos_n1000_p0c0.3_5.graph
0.3,6,20,0.0242496,new_1000_dataset/erdos_n1000_p0c0.3_6.graph
0.3,7,20,0.0369335,new_1000_dataset/erdos_n1000_p0c0.3_7.graph
0.3,8,18,0.0304591,new_1000_dataset/erdos_n1000_p0c0.3_8.graph
0.3,9,19,0.0329701,new_1000_dataset/erdos_n1000_p0c0.3_9.graph
0.3,10,19,0.0248624,new_1000_dataset/erdos_n1000_p0c0.3_10.graph
0.3,11,21,0.0248426,new_1000_dataset/erdos_n1000_p0c0.3_11.graph
0.3,12,21,0.0255046,new_1000_dataset/erdos_n1000_p0c0.3_12.graph
0.3,13,19,0.0281193,new_1000_dataset/erdos_n1000_p0c0.3_13.graph
