densidad,idx,final_best,found_at,archivo
0.1,1,66,2.103414,new_2000_dataset/erdos_n2000_p0c0.1_1.graph
0.1,2,66,3.660278,new_2000_dataset/erdos_n2000_p0c0.1_2.graph
0.1,3,69,0.234466,new_2000_dataset/erdos_n2000_p0c0.1_3.graph
0.1,4,67,3.340223,new_2000_dataset/erdos_n2000_p0c0.1_4.graph
0.1,5,67,0.001244,new_2000_dataset/erdos_n2000_p0c0.1_5.graph
0.1,6,66,6.280973,new_2000_dataset/erdos_n2000_p0c0.1_6.graph
0.1,7,67,0.344921,new_2000_dataset/erdos_n2000_p0c0.1_7.graph
0.1,8,67,0.298855,new_2000_dataset/erdos_n2000_p0c0.1_8.graph
0.1,9,67,0.441837,new_2000_dataset/erdos_n2000_p0c0.1_9.graph
0.1,10,66,4.089011,new_2000_dataset/erdos_n2000_p0c0.1_10.graph
0.1,11,68,2.559123,new_2000_dataset/erdos_n2000_p0c0.1_11.graph
0.1,12,67,1.251797,new_2000_dataset/erdos_n2000_p0c0.1_12.graph
0.1,13,66,8.445650,new_2000_dataset/erdos_n2000_p0c0.1_13.graph
0.1,14,66,0.083555,new_2000_dataset/erdos_n2000_p0c0.1_14.graph
0.1,15,69,5.704978,new_2000_dataset/erdos_n2000_p0c0.1_15.graph
0.1,16,67,2.407197,new_2000_dataset/erdos_n2000_p0c0.1_16.graph
0.1,17,67,3.239953,new_2000_dataset/erdos_n2000_p0c0.1_17.graph
0.1,18,68,0.577367,new_2000_dataset/erdos_n2000_p0c0.1_18.graph
0.1,19,69,0.068328,new_2000_dataset/erdos_n2000_p0c0.1_19.graph
0.1,20,69,0.296074,new_2000_dataset/erdos_n2000_p0c0.1_20.graph
0.1,21,68,3.041278,new_2000_dataset/erdos_n2000_p0c0.1_21.graph
0.1,22,69,6.194105,new_2000_dataset/erdos_n2000_p0c0.1_22.graph
0.1,23,68,7.410733,new_2000_dataset/erdos_n2000_p0c0.1_23.graph
0.1,24,68,2.373447,new_2000_dataset/erdos_n2000_p0c0.1_24.graph
0.1,25,66,2.691471,new_2000_dataset/erdos_n2000_p0c0.1_25.graph
0.1,26,68,1.963695,new_2000_dataset/erdos_n2000_p0c0.1_26.graph
0.1,27,67,0.137620,new_2000_dataset/erdos_n2000_p0c0.1_27.graph
0.1,28,65,0.072333,new_2000_dataset/erdos_n2000_p0c0.1_28.graph
0.1,29,67,0.899721,new_2000_dataset/erdos_n2000_p0c0.1_29.graph
0.1,30,67,5.042509,new_2000_dataset/erdos_n2000_p0c0.1_30.graph
0.2,1,36,9.069930,new_2000_dataset/erdos_n2000_p0c0.2_1.graph
0.2,2,34,0.010505,new_2000_dataset/erdos_n2000_p0c0.2_2.graph
0.2,3,35,2.579894,new_2000_dataset/erdos_n2000_p0c0.2_3.graph
0.2,4,37,0.053658,new_2000_dataset/erdos_n2000_p0c0.2_4.graph
0.2,5,34,0.021229,new_2000_dataset/erdos_n2000_p0c0.2_5.graph
0.2,6,35,0.031290,new_2000_dataset/erdos_n2000_p0c0.2_6.graph
0.2,7,37,0.240421,new_2000_dataset/erdos_n2000_p0c0.2_7.graph
0.2,8,38,3.153920,new_2000_dataset/erdos_n2000_p0c0.2_8.graph
0.2,9,35,0.036027,new_2000_dataset/erdos_n2000_p0c0.2_9.graph
0.2,10,36,1.233394,new_2000_dataset/erdos_n2000_p0c0.2_10.graph
0.2,11,36,1.612383,new_2000_dataset/erdos_n2000_p0c0.2_11.graph
0.2,12,36,2.347956,new_2000_dataset/erdos_n2000_p0c0.2_12.graph
0.2,13,37,5.988152,new_2000_dataset/erdos_n2000_p0c0.2_13.graph
0.2,14,37,3.404453,new_2000_dataset/erdos_n2000_p0c0.2_14.graph
0.2,15,35,0.106547,new_2000_dataset/erdos_n2000_p0c0.2_15.graph
0.2,16,37,0.079997,new_2000_dataset/erdos_n2000_p0c0.2_16.graph
0.2,17,35,0.306032,new_2000_dataset/erdos_n2000_p0c0.2_17.graph
0.2,18,37,0.115905,new_2000_dataset/erdos_n2000_p0c0.2_18.graph
0.2,19,36,1.950521,new_2000_dataset/erdos_n2000_p0c0.2_19.graph
0.2,20,35,0.427844,new_2000_dataset/erdos_n2000_p0c0.2_20.graph
0.2,21,36,4.046442,new_2000_dataset/erdos_n2000_p0c0.2_21.graph
0.2,22,37,1.529895,new_2000_dataset/erdos_n2000_p0c0.2_22.graph
0.2,23,35,4.572331,new_2000_dataset/erdos_n2000_p0c0.2_23.graph
0.2,24,36,3.223835,new_2000_dataset/erdos_n2000_p0c0.2_24.graph
0.2,25,35,0.955992,new_2000_dataset/erdos_n2000_p0c0.2_25.graph
0.2,26,36,0.650252,new_2000_dataset/erdos_n2000_p0c0.2_26.graph
0.2,27,36,0.166668,new_2000_dataset/erdos_n2000_p0c0.2_27.graph
0.2,28,34,0.000768,new_2000_dataset/erdos_n2000_p0c0.2_28.graph
0.2,29,36,0.435065,new_2000_dataset/erdos_n2000_p0c0.2_29.graph
0.2,30,35,0.465032,new_2000_dataset/erdos_n2000_p0c0.2_30.graph
0.3,1,24,0.152241,new_2000_dataset/erdos_n2000_p0c0.3_1.graph
0.3,2,23,0.006966,new_2000_dataset/erdos_n2000_p0c0.3_2.graph
0.3,3,25,6.049968,new_2000_dataset/erdos_n2000_p0c0.3_3.graph
0.3,4,24,0.008152,new_2000_dataset/erdos_n2000_p0c0.3_4.graph
0.3,5,23,0.001671,new_2000_dataset/erdos_n2000_p0c0.3_5.graph
0.3,6,26,1.307078,new_2000_dataset/erdos_n2000_p0c0.3_6.graph
0.3,7,25,8.688166,new_2000_dataset/erdos_n2000_p0c0.3_7.graph
0.3,8,24,0.001058,new_2000_dataset/erdos_n2000_p0c0.3_8.graph
0.3,9,25,1.219621,new_2000_dataset/erdos_n2000_p0c0.3_9.graph
0.3,10,24,0.005290,new_2000_dataset/erdos_n2000_p0c0.3_10.graph
0.3,11,26,1.523949,new_2000_dataset/erdos_n2000_p0c0.3_11.graph
0.3,12,24,0.087110,new_2000_dataset/erdos_n2000_p0c0.3_12.graph
0.3,13,24,0.322739,new_2000_dataset/erdos_n2000_p0c0.3_13.graph
0.3,14,24,0.002081,new_2000_dataset/erdos_n2000_p0c0.3_14.graph
0.3,15,23,0.082741,new_2000_dataset/erdos_n2000_p0c0.3_15.graph
0.3,16,26,1.870798,new_2000_dataset/erdos_n2000_p0c0.3_16.graph
0.3,17,23,0.004377,new_2000_dataset/erdos_n2000_p0c0.3_17.graph
0.3,18,25,2.745034,new_2000_dataset/erdos_n2000_p0c0.3_18.graph
0.3,19,24,0.010106,new_2000_dataset/erdos_n2000_p0c0.3_19.graph
0.3,20,24,5.531814,new_2000_dataset/erdos_n2000_p0c0.3_20.graph
0.3,21,24,1.463258,new_2000_dataset/erdos_n2000_p0c0.3_21.graph
0.3,22,25,0.994698,new_2000_dataset/erdos_n2000_p0c0.3_22.graph
0.3,23,23,0.992374,new_2000_dataset/erdos_n2000_p0c0.3_23.graph
0.3,24,25,0.863231,new_2000_dataset/erdos_n2000_p0c0.3_24.graph
0.3,25,24,0.083132,new_2000_dataset/erdos_n2000_p0c0.3_25.graph
0.3,26,25,0.561299,new_2000_dataset/erdos_n2000_p0c0.3_26.graph
0.3,27,24,0.006800,new_2000_dataset/erdos_n2000_p0c0.3_27.graph
0.3,28,24,8.478879,new_2000_dataset/erdos_n2000_p0c0.3_28.graph
0.3,29,24,1.075862,new_2000_dataset/erdos_n2000_p0c0.3_29.graph
0.3,30,24,0.043526,new_2000_dataset/erdos_n2000_p0c0.3_30.graph
0.4,1,18,0.013755,new_2000_dataset/erdos_n2000_p0c0.4_1.graph
0.4,2,18,0.300199,new_2000_dataset/erdos_n2000_p0c0.4_2.graph
0.4,3,18,0.004274,new_2000_dataset/erdos_n2000_p0c0.4_3.graph
0.4,4,19,3.097532,new_2000_dataset/erdos_n2000_p0c0.4_4.graph
0.4,5,18,1.871842,new_2000_dataset/erdos_n2000_p0c0.4_5.graph
0.4,6,19,5.612684,new_2000_dataset/erdos_n2000_p0c0.4_6.graph
0.4,7,17,0.004838,new_2000_dataset/erdos_n2000_p0c0.4_7.graph
0.4,8,18,0.001620,new_2000_dataset/erdos_n2000_p0c0.4_8.graph
0.4,9,18,0.075830,new_2000_dataset/erdos_n2000_p0c0.4_9.graph
0.4,10,18,3.128670,new_2000_dataset/erdos_n2000_p0c0.4_10.graph
0.4,11,18,0.041929,new_2000_dataset/erdos_n2000_p0c0.4_11.graph
0.4,12,19,0.530855,new_2000_dataset/erdos_n2000_p0c0.4_12.graph
0.4,13,18,0.149310,new_2000_dataset/erdos_n2000_p0c0.4_13.graph
0.4,14,18,0.005360,new_2000_dataset/erdos_n2000_p0c0.4_14.graph
0.4,15,18,0.236668,new_2000_dataset/erdos_n2000_p0c0.4_15.graph
0.4,16,18,0.058926,new_2000_dataset/erdos_n2000_p0c0.4_16.graph
0.4,17,17,0.117866,new_2000_dataset/erdos_n2000_p0c0.4_17.graph
0.4,18,19,0.203912,new_2000_dataset/erdos_n2000_p0c0.4_18.graph
0.4,19,18,0.122085,new_2000_dataset/erdos_n2000_p0c0.4_19.graph
0.4,20,19,0.401272,new_2000_dataset/erdos_n2000_p0c0.4_20.graph
0.4,21,18,4.562683,new_2000_dataset/erdos_n2000_p0c0.4_21.graph
0.4,22,19,4.199265,new_2000_dataset/erdos_n2000_p0c0.4_22.graph
0.4,23,18,6.421213,new_2000_dataset/erdos_n2000_p0c0.4_23.graph
0.4,24,18,0.450360,new_2000_dataset/erdos_n2000_p0c0.4_24.graph
0.4,25,18,0.084075,new_2000_dataset/erdos_n2000_p0c0.4_25.graph
0.4,26,18,0.400453,new_2000_dataset/erdos_n2000_p0c0.4_26.graph
0.4,27,18,0.029901,new_2000_dataset/erdos_n2000_p0c0.4_27.graph
0.4,28,18,0.002838,new_2000_dataset/erdos_n2000_p0c0.4_28.graph
0.4,29,17,0.734580,new_2000_dataset/erdos_n2000_p0c0.4_29.graph
0.4,30,18,0.127059,new_2000_dataset/erdos_n2000_p0c0.4_30.graph
0.5,1,15,6.232776,new_2000_dataset/erdos_n2000_p0c0.5_1.graph
0.5,2,14,1.694161,new_2000_dataset/erdos_n2000_p0c0.5_2.graph
0.5,3,14,0.202451,new_2000_dataset/erdos_n2000_p0c0.5_3.graph
0.5,4,13,0.003042,new_2000_dataset/erdos_n2000_p0c0.5_4.graph
0.5,5,14,0.064643,new_2000_dataset/erdos_n2000_p0c0.5_5.graph
0.5,6,15,0.543411,new_2000_dataset/erdos_n2000_p0c0.5_6.graph
0.5,7,14,0.242488,new_2000_dataset/erdos_n2000_p0c0.5_7.graph
0.5,8,14,0.226178,new_2000_dataset/erdos_n2000_p0c0.5_8.graph
0.5,9,14,2.671048,new_2000_dataset/erdos_n2000_p0c0.5_9.graph
0.5,10,14,0.789561,new_2000_dataset/erdos_n2000_p0c0.5_10.graph
0.5,11,14,8.990196,new_2000_dataset/erdos_n2000_p0c0.5_11.graph
0.5,12,14,0.007387,new_2000_dataset/erdos_n2000_p0c0.5_12.graph
0.5,13,13,0.003437,new_2000_dataset/erdos_n2000_p0c0.5_13.graph
0.5,14,13,0.017037,new_2000_dataset/erdos_n2000_p0c0.5_14.graph
0.5,15,14,0.232302,new_2000_dataset/erdos_n2000_p0c0.5_15.graph
0.5,16,14,0.493621,new_2000_dataset/erdos_n2000_p0c0.5_16.graph
0.5,17,14,6.170007,new_2000_dataset/erdos_n2000_p0c0.5_17.graph
0.5,18,14,0.325612,new_2000_dataset/erdos_n2000_p0c0.5_18.graph
0.5,19,14,0.004164,new_2000_dataset/erdos_n2000_p0c0.5_19.graph
0.5,20,15,0.970460,new_2000_dataset/erdos_n2000_p0c0.5_20.graph
0.5,21,13,0.001428,new_2000_dataset/erdos_n2000_p0c0.5_21.graph
0.5,22,14,0.289915,new_2000_dataset/erdos_n2000_p0c0.5_22.graph
0.5,23,14,5.188203,new_2000_dataset/erdos_n2000_p0c0.5_23.graph
0.5,24,13,0.036828,new_2000_dataset/erdos_n2000_p0c0.5_24.graph
0.5,25,15,3.131937,new_2000_dataset/erdos_n2000_p0c0.5_25.graph
0.5,26,14,0.202819,new_2000_dataset/erdos_n2000_p0c0.5_26.graph
0.5,27,14,0.407954,new_2000_dataset/erdos_n2000_p0c0.5_27.graph
0.5,28,14,3.160924,new_2000_dataset/erdos_n2000_p0c0.5_28.graph
0.5,29,15,0.287624,new_2000_dataset/erdos_n2000_p0c0.5_29.graph
0.5,30,14,0.128153,new_2000_dataset/erdos_n2000_p0c0.5_30.graph
0.6,1,11,0.027395,new_2000_dataset/erdos_n2000_p0c0.6_1.graph
