densidad,idx,solucion,tiempo,archivo
0.3,16,23,0.329928,new_3000_dataset/erdos_n3000_p0c0.3_16.graph
0.3,17,23,0.316542,new_3000_dataset/erdos_n3000_p0c0.3_17.graph
0.3,18,24,0.345687,new_3000_dataset/erdos_n3000_p0c0.3_18.graph
0.3,19,23,0.324708,new_3000_dataset/erdos_n3000_p0c0.3_19.graph
0.3,20,24,0.29986,new_3000_dataset/erdos_n3000_p0c0.3_20.graph
0.3,21,23,0.368951,new_3000_dataset/erdos_n3000_p0c0.3_21.graph
0.3,22,23,0.301421,new_3000_dataset/erdos_n3000_p0c0.3_22.graph
0.3,23,25,0.309595,new_3000_dataset/erdos_n3000_p0c0.3_23.graph
0.3,24,25,0.304501,new_3000_dataset/erdos_n3000_p0c0.3_24.graph
0.3,25,24,0.31519,new_3000_dataset/erdos_n3000_p0c0.3_25.graph
0.3,26,24,0.292214,new_3000_dataset/erdos_n3000_p0c0.3_26.graph
0.3,27,22,0.310793,new_3000_dataset/erdos_n3000_p0c0.3_27.graph
0.3,28,24,0.319273,new_3000_dataset/erdos_n3000_p0c0.3_28.graph
0.3,29,24,0.427113,new_3000_dataset/erdos_n3000_p0c0.3_29.graph
0.3,30,24,0.398466,new_3000_dataset/erdos_n3000_p0c0.3_30.graph
0.4,1,17,0.460917,new_3000_dataset/erdos_n3000_p0c0.4_1.graph
0.4,2,18,0.533259,new_3000_dataset/erdos_n3000_p0c0.4_2.graph
0.4,3,15,0.499818,new_3000_dataset/erdos_n3000_p0c0.4_3.graph
0.4,4,16,0.508183,new_3000_dataset/erdos_n3000_p0c0.4_4.graph
0.4,5,16,0.477869,new_3000_dataset/erdos_n3000_p0c0.4_5.graph
0.4,6,17,0.539387,new_3000_dataset/erdos_n3000_p0c0.4_6.graph
0.4,7,18,0.520184,new_3000_dataset/erdos_n3000_p0c0.4_7.graph
0.4,8,16,0.490778,new_3000_dataset/erdos_n3000_p0c0.4_8.graph
0.4,9,17,0.508019,new_3000_dataset/erdos_n3000_p0c0.4_9.graph
0.4,10,19,0.509038,new_3000_dataset/erdos_n3000_p0c0.4_10.graph
0.4,11,17,0.465573,new_3000_dataset/erdos_n3000_p0c0.4_11.graph
0.4,12,17,0.510276,new_3000_dataset/erdos_n3000_p0c0.4_12.graph
0.4,13,18,0.483575,new_3000_dataset/erdos_n3000_p0c0.4_13.graph
0.4,14,18,0.475908,new_3000_dataset/erdos_n3000_p0c0.4_14.graph
0.4,15,19,0.539123,new_3000_dataset/erdos_n3000_p0c0.4_15.graph
0.4,16,18,0.513665,new_3000_dataset/erdos_n3000_p0c0.4_16.graph
0.4,17,17,0.499575,new_3000_dataset/erdos_n3000_p0c0.4_17.graph
0.4,18,15,0.470683,new_3000_dataset/erdos_n3000_p0c0.4_18.graph
0.4,19,17,0.480814,new_3000_dataset/erdos_n3000_p0c0.4_19.graph
0.4,20,16,0.462988,new_3000_dataset/erdos_n3000_p0c0.4_20.graph
0.4,21,17,0.46958,new_3000_dataset/erdos_n3000_p0c0.4_21.graph
0.4,22,17,0.460426,new_3000_dataset/erdos_n3000_p0c0.4_22.graph
0.4,23,18,0.45256,new_3000_dataset/erdos_n3000_p0c0.4_23.graph
0.4,24,18,0.522582,new_3000_dataset/erdos_n3000_p0c0.4_24.graph
0.4,25,17,0.498179,new_3000_dataset/erdos_n3000_p0c0.4_25.graph
0.4,26,18,0.482039,new_3000_dataset/erdos_n3000_p0c0.4_26.graph
0.4,27,17,0.470774,new_3000_dataset/erdos_n3000_p0c0.4_27.graph
0.4,28,16,0.461019,new_3000_dataset/erdos_n3000_p0c0.4_28.graph
0.4,29,16,0.470645,new_3000_dataset/erdos_n3000_p0c0.4_29.graph
0.4,30,14,0.473893,new_3000_dataset/erdos_n3000_p0c0.4_30.graph
0.5,1,14,0.650896,new_3000_dataset/erdos_n3000_p0c0.5_1.graph
0.5,2,13,0.626786,new_3000_dataset/erdos_n3000_p0c0.5_2.graph
0.5,3,11,0.687443,new_3000_dataset/erdos_n3000_p0c0.5_3.graph
0.5,4,11,0.550568,new_3000_dataset/erdos_n3000_p0c0.5_4.graph
0.5,5,13,0.715187,new_3000_dataset/erdos_n3000_p0c0.5_5.graph
