densidad,idx,final_best,found_at,archivo
0.3,16,25,1.162266,new_3000_dataset/erdos_n3000_p0c0.3_16.graph
0.3,17,25,0.264350,new_3000_dataset/erdos_n3000_p0c0.3_17.graph
0.3,18,26,0.006919,new_3000_dataset/erdos_n3000_p0c0.3_18.graph
0.3,19,25,0.703954,new_3000_dataset/erdos_n3000_p0c0.3_19.graph
0.3,20,25,0.069483,new_3000_dataset/erdos_n3000_p0c0.3_20.graph
0.3,21,25,3.665403,new_3000_dataset/erdos_n3000_p0c0.3_21.graph
0.3,22,25,1.533698,new_3000_dataset/erdos_n3000_p0c0.3_22.graph
0.3,23,26,0.338826,new_3000_dataset/erdos_n3000_p0c0.3_23.graph
0.3,24,26,0.004600,new_3000_dataset/erdos_n3000_p0c0.3_24.graph
0.3,25,25,0.720895,new_3000_dataset/erdos_n3000_p0c0.3_25.graph
0.3,26,26,2.091520,new_3000_dataset/erdos_n3000_p0c0.3_26.graph
0.3,27,25,0.011843,new_3000_dataset/erdos_n3000_p0c0.3_27.graph
0.3,28,25,4.418225,new_3000_dataset/erdos_n3000_p0c0.3_28.graph
0.3,29,25,0.025442,new_3000_dataset/erdos_n3000_p0c0.3_29.graph
0.3,30,26,4.425076,new_3000_dataset/erdos_n3000_p0c0.3_30.graph
0.4,1,19,0.061446,new_3000_dataset/erdos_n3000_p0c0.4_1.graph
0.4,2,18,0.002862,new_3000_dataset/erdos_n3000_p0c0.4_2.graph
0.4,3,19,1.034361,new_3000_dataset/erdos_n3000_p0c0.4_3.graph
0.4,4,19,0.016551,new_3000_dataset/erdos_n3000_p0c0.4_4.graph
0.4,5,18,0.079850,new_3000_dataset/erdos_n3000_p0c0.4_5.graph
0.4,6,17,0.012870,new_3000_dataset/erdos_n3000_p0c0.4_6.graph
0.4,7,19,9.673891,new_3000_dataset/erdos_n3000_p0c0.4_7.graph
0.4,8,19,7.913948,new_3000_dataset/erdos_n3000_p0c0.4_8.graph
0.4,9,18,0.008253,new_3000_dataset/erdos_n3000_p0c0.4_9.graph
0.4,10,19,0.174641,new_3000_dataset/erdos_n3000_p0c0.4_10.graph
0.4,11,19,2.789503,new_3000_dataset/erdos_n3000_p0c0.4_11.graph
0.4,12,18,0.110362,new_3000_dataset/erdos_n3000_p0c0.4_12.graph
0.4,13,19,0.004871,new_3000_dataset/erdos_n3000_p0c0.4_13.graph
0.4,14,19,1.639127,new_3000_dataset/erdos_n3000_p0c0.4_14.graph
0.4,15,19,0.136144,new_3000_dataset/erdos_n3000_p0c0.4_15.graph
0.4,16,19,0.673341,new_3000_dataset/erdos_n3000_p0c0.4_16.graph
0.4,17,19,0.647261,new_3000_dataset/erdos_n3000_p0c0.4_17.graph
0.4,18,20,4.633321,new_3000_dataset/erdos_n3000_p0c0.4_18.graph
0.4,19,18,0.014239,new_3000_dataset/erdos_n3000_p0c0.4_19.graph
0.4,20,19,6.709273,new_3000_dataset/erdos_n3000_p0c0.4_20.graph
0.4,21,18,0.143588,new_3000_dataset/erdos_n3000_p0c0.4_21.graph
0.4,22,18,0.022496,new_3000_dataset/erdos_n3000_p0c0.4_22.graph
0.4,23,19,0.832653,new_3000_dataset/erdos_n3000_p0c0.4_23.graph
0.4,24,18,0.005946,new_3000_dataset/erdos_n3000_p0c0.4_24.graph
0.4,25,19,3.120806,new_3000_dataset/erdos_n3000_p0c0.4_25.graph
0.4,26,18,0.027885,new_3000_dataset/erdos_n3000_p0c0.4_26.graph
0.4,27,21,0.151698,new_3000_dataset/erdos_n3000_p0c0.4_27.graph
0.4,28,18,0.002540,new_3000_dataset/erdos_n3000_p0c0.4_28.graph
0.4,29,19,0.442335,new_3000_dataset/erdos_n3000_p0c0.4_29.graph
0.4,30,19,8.627162,new_3000_dataset/erdos_n3000_p0c0.4_30.graph
0.5,1,14,0.003044,new_3000_dataset/erdos_n3000_p0c0.5_1.graph
0.5,2,15,2.391690,new_3000_dataset/erdos_n3000_p0c0.5_2.graph
0.5,3,14,0.257257,new_3000_dataset/erdos_n3000_p0c0.5_3.graph
0.5,4,14,0.333427,new_3000_dataset/erdos_n3000_p0c0.5_4.graph
0.5,5,15,0.084304,new_3000_dataset/erdos_n3000_p0c0.5_5.graph
0.5,6,14,0.074689,new_3000_dataset/erdos_n3000_p0c0.5_6.graph
0.5,7,14,0.018816,new_3000_dataset/erdos_n3000_p0c0.5_7.graph
0.5,8,15,0.185132,new_3000_dataset/erdos_n3000_p0c0.5_8.graph
0.5,9,14,0.072403,new_3000_dataset/erdos_n3000_p0c0.5_9.graph
0.5,10,15,1.537178,new_3000_dataset/erdos_n3000_p0c0.5_10.graph
0.5,11,14,1.249163,new_3000_dataset/erdos_n3000_p0c0.5_11.graph
0.5,12,15,1.673743,new_3000_dataset/erdos_n3000_p0c0.5_12.graph
0.5,13,14,0.072325,new_3000_dataset/erdos_n3000_p0c0.5_13.graph
0.5,14,14,0.306247,new_3000_dataset/erdos_n3000_p0c0.5_14.graph
0.5,15,14,0.010605,new_3000_dataset/erdos_n3000_p0c0.5_15.graph
0.5,16,15,0.012183,new_3000_dataset/erdos_n3000_p0c0.5_16.graph
0.5,17,13,0.014369,new_3000_dataset/erdos_n3000_p0c0.5_17.graph
0.5,18,14,0.067847,new_3000_dataset/erdos_n3000_p0c0.5_18.graph
0.5,19,15,0.826578,new_3000_dataset/erdos_n3000_p0c0.5_19.graph
0.5,20,14,0.016413,new_3000_dataset/erdos_n3000_p0c0.5_20.graph
0.5,21,14,7.496702,new_3000_dataset/erdos_n3000_p0c0.5_21.graph
0.5,22,14,0.128174,new_3000_dataset/erdos_n3000_p0c0.5_22.graph
0.5,23,14,0.099404,new_3000_dataset/erdos_n3000_p0c0.5_23.graph
0.5,24,15,0.718699,new_3000_dataset/erdos_n3000_p0c0.5_24.graph
0.5,25,14,0.941593,new_3000_dataset/erdos_n3000_p0c0.5_25.graph
0.5,26,16,1.002949,new_3000_dataset/erdos_n3000_p0c0.5_26.graph
0.5,27,14,0.003170,new_3000_dataset/erdos_n3000_p0c0.5_27.graph
0.5,28,15,1.177735,new_3000_dataset/erdos_n3000_p0c0.5_28.graph
0.5,29,14,0.945696,new_3000_dataset/erdos_n3000_p0c0.5_29.graph
0.5,30,15,6.841843,new_3000_dataset/erdos_n3000_p0c0.5_30.graph
0.6,1,12,0.049060,new_3000_dataset/erdos_n3000_p0c0.6_1.graph
0.6,2,12,9.630784,new_3000_dataset/erdos_n3000_p0c0.6_2.graph
0.6,3,11,0.004307,new_3000_dataset/erdos_n3000_p0c0.6_3.graph
0.6,4,12,0.041326,new_3000_dataset/erdos_n3000_p0c0.6_4.graph
0.6,5,11,0.039619,new_3000_dataset/erdos_n3000_p0c0.6_5.graph
0.6,6,12,1.356579,new_3000_dataset/erdos_n3000_p0c0.6_6.graph
0.6,7,11,0.024460,new_3000_dataset/erdos_n3000_p0c0.6_7.graph
0.6,8,12,5.289940,new_3000_dataset/erdos_n3000_p0c0.6_8.graph
0.6,9,11,0.013330,new_3000_dataset/erdos_n3000_p0c0.6_9.graph
0.6,10,12,0.003585,new_3000_dataset/erdos_n3000_p0c0.6_10.graph
0.6,11,12,6.804339,new_3000_dataset/erdos_n3000_p0c0.6_11.graph
0.6,12,11,0.023116,new_3000_dataset/erdos_n3000_p0c0.6_12.graph
0.6,13,11,0.048075,new_3000_dataset/erdos_n3000_p0c0.6_13.graph
0.6,14,11,0.003723,new_3000_dataset/erdos_n3000_p0c0.6_14.graph
0.6,15,12,2.155559,new_3000_dataset/erdos_n3000_p0c0.6_15.graph
0.6,16,11,0.046513,new_3000_dataset/erdos_n3000_p0c0.6_16.graph
0.6,17,12,0.483780,new_3000_dataset/erdos_n3000_p0c0.6_17.graph
0.6,18,11,0.008000,new_3000_dataset/erdos_n3000_p0c0.6_18.graph
0.6,19,12,4.291563,new_3000_dataset/erdos_n3000_p0c0.6_19.graph
0.6,20,12,1.006528,new_3000_dataset/erdos_n3000_p0c0.6_20.graph
0.6,21,11,0.013013,new_3000_dataset/erdos_n3000_p0c0.6_21.graph
0.6,22,13,0.214504,new_3000_dataset/erdos_n3000_p0c0.6_22.graph
0.6,23,11,0.096875,new_3000_dataset/erdos_n3000_p0c0.6_23.graph
0.6,24,12,3.402017,new_3000_dataset/erdos_n3000_p0c0.6_24.graph
0.6,25,12,7.319733,new_3000_dataset/erdos_n3000_p0c0.6_25.graph
