densidad,idx,solucion,tiempo,archivo
0.1,1,65,0.0531174,new_2000_dataset/erdos_n2000_p0c0.1_1.graph
0.1,2,67,0.0372322,new_2000_dataset/erdos_n2000_p0c0.1_2.graph
0.1,3,69,0.0365153,new_2000_dataset/erdos_n2000_p0c0.1_3.graph
0.1,4,65,0.0351176,new_2000_dataset/erdos_n2000_p0c0.1_4.graph
0.1,5,66,0.0348651,new_2000_dataset/erdos_n2000_p0c0.1_5.graph
0.1,6,65,0.0429114,new_2000_dataset/erdos_n2000_p0c0.1_6.graph
0.1,7,67,0.0381931,new_2000_dataset/erdos_n2000_p0c0.1_7.graph
0.1,8,67,0.0353512,new_2000_dataset/erdos_n2000_p0c0.1_8.graph
0.1,9,66,0.0373446,new_2000_dataset/erdos_n2000_p0c0.1_9.graph
0.1,10,65,0.0351078,new_2000_dataset/erdos_n2000_p0c0.1_10.graph
0.1,11,66,0.0438596,new_2000_dataset/erdos_n2000_p0c0.1_11.graph
0.1,12,67,0.0408354,new_2000_dataset/erdos_n2000_p0c0.1_12.graph
0.1,13,67,0.0442563,new_2000_dataset/erdos_n2000_p0c0.1_13.graph
0.1,14,68,0.0421827,new_2000_dataset/erdos_n2000_p0c0.1_14.graph
0.1,15,66,0.0370746,new_2000_dataset/erdos_n2000_p0c0.1_15.graph
0.1,16,65,0.0525791,new_2000_dataset/erdos_n2000_p0c0.1_16.graph
0.1,17,69,0.0392859,new_2000_dataset/erdos_n2000_p0c0.1_17.graph
0.1,18,68,0.0368152,new_2000_dataset/erdos_n2000_p0c0.1_18.graph
0.1,19,66,0.0403638,new_2000_dataset/erdos_n2000_p0c0.1_19.graph
0.1,20,66,0.0422795,new_2000_dataset/erdos_n2000_p0c0.1_20.graph
0.1,21,65,0.039002,new_2000_dataset/erdos_n2000_p0c0.1_21.graph
0.1,22,67,0.0362725,new_2000_dataset/erdos_n2000_p0c0.1_22.graph
0.1,23,68,0.03824,new_2000_dataset/erdos_n2000_p0c0.1_23.graph
0.1,24,66,0.0662069,new_2000_dataset/erdos_n2000_p0c0.1_24.graph
0.1,25,68,0.0402694,new_2000_dataset/erdos_n2000_p0c0.1_25.graph
0.1,26,66,0.0367564,new_2000_dataset/erdos_n2000_p0c0.1_26.graph
0.1,27,65,0.0400249,new_2000_dataset/erdos_n2000_p0c0.1_27.graph
0.1,28,65,0.0385878,new_2000_dataset/erdos_n2000_p0c0.1_28.graph
0.1,29,68,0.0351465,new_2000_dataset/erdos_n2000_p0c0.1_29.graph
0.1,30,64,0.0366533,new_2000_dataset/erdos_n2000_p0c0.1_30.graph
0.2,1,36,0.0789792,new_2000_dataset/erdos_n2000_p0c0.2_1.graph
0.2,2,34,0.0863779,new_2000_dataset/erdos_n2000_p0c0.2_2.graph
0.2,3,34,0.0762897,new_2000_dataset/erdos_n2000_p0c0.2_3.graph
0.2,4,37,0.0706543,new_2000_dataset/erdos_n2000_p0c0.2_4.graph
0.2,5,36,0.0768502,new_2000_dataset/erdos_n2000_p0c0.2_5.graph
0.2,6,35,0.0771449,new_2000_dataset/erdos_n2000_p0c0.2_6.graph
0.2,7,36,0.0790034,new_2000_dataset/erdos_n2000_p0c0.2_7.graph
0.2,8,36,0.0783415,new_2000_dataset/erdos_n2000_p0c0.2_8.graph
0.2,9,35,0.0761995,new_2000_dataset/erdos_n2000_p0c0.2_9.graph
0.2,10,37,0.0762626,new_2000_dataset/erdos_n2000_p0c0.2_10.graph
0.2,11,35,0.0748706,new_2000_dataset/erdos_n2000_p0c0.2_11.graph
0.2,12,36,0.143995,new_2000_dataset/erdos_n2000_p0c0.2_12.graph
0.2,13,36,0.0812424,new_2000_dataset/erdos_n2000_p0c0.2_13.graph
0.2,14,35,0.076887,new_2000_dataset/erdos_n2000_p0c0.2_14.graph
0.2,15,36,0.0816623,new_2000_dataset/erdos_n2000_p0c0.2_15.graph
0.2,16,34,0.0828539,new_2000_dataset/erdos_n2000_p0c0.2_16.graph
0.2,17,36,0.0820028,new_2000_dataset/erdos_n2000_p0c0.2_17.graph
0.2,18,35,0.0782373,new_2000_dataset/erdos_n2000_p0c0.2_18.graph
0.2,19,36,0.0836758,new_2000_dataset/erdos_n2000_p0c0.2_19.graph
0.2,20,35,0.0830973,new_2000_dataset/erdos_n2000_p0c0.2_20.graph
0.2,21,35,0.0810802,new_2000_dataset/erdos_n2000_p0c0.2_21.graph
0.2,22,37,0.0875623,new_2000_dataset/erdos_n2000_p0c0.2_22.graph
0.2,23,37,0.0802362,new_2000_dataset/erdos_n2000_p0c0.2_23.graph
0.2,24,36,0.0769499,new_2000_dataset/erdos_n2000_p0c0.2_24.graph
0.2,25,35,0.0767488,new_2000_dataset/erdos_n2000_p0c0.2_25.graph
0.2,26,36,0.0789065,new_2000_dataset/erdos_n2000_p0c0.2_26.graph
0.2,27,35,0.0717552,new_2000_dataset/erdos_n2000_p0c0.2_27.graph
