densidad,idx,final_best,found_at,archivo
0.3,16,22,0.037175,new_1000_dataset/erdos_n1000_p0c0.3_16.graph
0.3,17,22,0.014567,new_1000_dataset/erdos_n1000_p0c0.3_17.graph
0.3,18,22,0.290752,new_1000_dataset/erdos_n1000_p0c0.3_18.graph
0.3,19,22,4.673332,new_1000_dataset/erdos_n1000_p0c0.3_19.graph
0.3,20,21,0.000895,new_1000_dataset/erdos_n1000_p0c0.3_20.graph
0.3,21,22,0.043391,new_1000_dataset/erdos_n1000_p0c0.3_21.graph
0.3,22,21,0.275088,new_1000_dataset/erdos_n1000_p0c0.3_22.graph
0.3,23,22,6.113431,new_1000_dataset/erdos_n1000_p0c0.3_23.graph
0.3,24,21,0.005895,new_1000_dataset/erdos_n1000_p0c0.3_24.graph
0.3,25,22,0.000621,new_1000_dataset/erdos_n1000_p0c0.3_25.graph
0.3,26,24,1.767966,new_1000_dataset/erdos_n1000_p0c0.3_26.graph
0.3,27,22,6.797910,new_1000_dataset/erdos_n1000_p0c0.3_27.graph
0.3,28,21,0.459768,new_1000_dataset/erdos_n1000_p0c0.3_28.graph
0.3,29,23,5.110801,new_1000_dataset/erdos_n1000_p0c0.3_29.graph
0.3,30,23,4.372053,new_1000_dataset/erdos_n1000_p0c0.3_30.graph
0.4,1,17,0.062720,new_1000_dataset/erdos_n1000_p0c0.4_1.graph
0.4,2,17,0.241131,new_1000_dataset/erdos_n1000_p0c0.4_2.graph
0.4,3,16,0.112510,new_1000_dataset/erdos_n1000_p0c0.4_3.graph
0.4,4,17,0.016224,new_1000_dataset/erdos_n1000_p0c0.4_4.graph
0.4,5,16,0.003081,new_1000_dataset/erdos_n1000_p0c0.4_5.graph
0.4,6,17,0.850979,new_1000_dataset/erdos_n1000_p0c0.4_6.graph
0.4,7,16,0.049019,new_1000_dataset/erdos_n1000_p0c0.4_7.graph
0.4,8,16,0.063726,new_1000_dataset/erdos_n1000_p0c0.4_8.graph
0.4,9,16,0.013910,new_1000_dataset/erdos_n1000_p0c0.4_9.graph
0.4,10,17,1.778518,new_1000_dataset/erdos_n1000_p0c0.4_10.graph
